COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,NUCLEAR_ADV
2.2556,10.705351,0.6888,12.42,10.009828,0,14.933788
2.2556,12.528168,0.6888,12.42,12.543453,4.882782,13.008726
2.2556,11.891679,0.6888,12.42,11.435921,1.603176,14.125989
2.2556,12.00859,0.6888,12.42,8.9068875,3.4526736,13.92868
2.2556,10.705776,0.6888,12.42,10.008238,0,14.933788
2.2556,11.620016,0.6888,12.42,10.759788,2.3813553,14.075468
2.2556,10.705776,0.6888,12.42,10.008238,0,14.933788
2.2556,10.705776,0.6888,12.42,10.008238,0,14.933788
2.2556,11.263451,0.6888,12.42,11.295226,1.327976,14.348651
2.2556,12.178845,0.6888,12.42,12.963596,2.8025828,13.581815
2.2556,10.22349,0.6888,12.42,17.928581,1.4998646,13.674161
2.2556,10.063607,0.6888,12.42,17.35027,0.80245139,13.946587
2.2556,11.433066,0.6888,12.42,21.884229,3.7980214,12.379807
2.2556,9.528106,0.6888,12.42,16.533955,0.29809233,14.265918
2.2556,9.5161939,0.6888,12.42,16.641693,1.7698188,13.842162
2.2556,9.7220237,0.6888,12.42,16.932036,0.60196367,14.117873
2.2556,10.111443,0.6888,12.42,19.994067,2.4259299,13.224069
2.2556,11.397433,0.6888,12.42,23.47436,4.9496199,11.876292
2.2556,10.395075,0.6888,12.42,19.997932,1.7028452,13.336701
2.2556,10.082266,0.6888,12.42,18.254109,0.88051153,13.819096
2.2556,8.6429757,0.6888,12.42,14.826633,1.0929385,13.979289
2.2556,10.057687,0.6888,12.42,21.020645,4.2140595,12.114659
2.2556,12.235651,0.6888,12.42,19.018659,6.8513426,11.21354
2.2556,9.9854887,0.6888,12.42,20.157881,4.2131613,12.404808
2.2556,8.9573401,0.6888,12.42,16.244564,1.8613266,13.614
2.2556,8.9560262,0.6888,12.42,19.002557,1.5989933,13.309339
2.2556,9.2172709,0.6888,12.42,18.747158,2.3259547,13.116948
2.2556,10.649144,0.6888,12.42,15.271352,4.9349137,12.538136
2.2556,9.2073224,0.6888,12.42,14.684645,2.852328,13.465426
2.2556,9.2234074,0.6888,12.42,14.690231,1.981402,13.649884
